               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.033479,           0.0085209,           0.0065601,             0.96936,             0.99707,             0.99414,             0.64021,            0.028424,           0.0051228,           0.0037872,           0.0087922,           0.0087922,           0.0087922
                  63,            0.033912,           0.0083521,           0.0072938,             0.96899,                   1,             0.99414,             0.66747,            0.028577,           0.0050623,           0.0037086,           0.0087724,           0.0087724,           0.0087724
                  64,            0.033797,           0.0079075,           0.0062287,             0.96967,             0.98675,             0.99244,             0.66012,            0.028067,           0.0050514,           0.0035967,           0.0087526,           0.0087526,           0.0087526
                  65,            0.031441,           0.0077282,             0.00658,             0.95907,                   1,             0.99263,             0.68162,            0.027539,           0.0051472,           0.0035233,           0.0087328,           0.0087328,           0.0087328
                  66,            0.033989,           0.0084297,           0.0060152,              0.9305,             0.99896,             0.98315,             0.64181,            0.027152,           0.0050894,            0.003559,            0.008713,            0.008713,            0.008713
                  67,            0.032458,           0.0084254,           0.0055585,             0.96974,                   1,              0.9946,             0.71605,             0.02487,           0.0049354,           0.0036402,           0.0086932,           0.0086932,           0.0086932
                  68,            0.031497,           0.0077413,           0.0059791,             0.96005,              0.9973,              0.9926,              0.6741,            0.025782,           0.0048755,           0.0034431,           0.0086734,           0.0086734,           0.0086734
                  69,            0.033232,           0.0089223,           0.0057677,             0.94553,             0.99843,             0.99381,             0.72396,            0.023081,           0.0048816,           0.0034039,           0.0086536,           0.0086536,           0.0086536
                  70,            0.032583,           0.0091078,           0.0063618,             0.97003,             0.99873,             0.99421,             0.70759,            0.023802,           0.0047963,           0.0035246,           0.0086338,           0.0086338,           0.0086338
                  71,             0.03139,           0.0076574,           0.0055599,             0.95715,                   1,              0.9923,             0.67856,             0.02588,           0.0048183,           0.0036329,            0.008614,            0.008614,            0.008614
                  72,            0.032487,           0.0080442,            0.006328,             0.90632,                   1,             0.97789,             0.72976,            0.023364,             0.00477,           0.0035506,           0.0085942,           0.0085942,           0.0085942
                  73,            0.029757,           0.0086007,           0.0056891,             0.94053,             0.99839,             0.98939,             0.72254,            0.024587,           0.0047807,           0.0034292,           0.0085744,           0.0085744,           0.0085744
                  74,            0.032961,           0.0078055,           0.0054523,             0.89346,                   1,             0.96851,             0.69131,            0.027165,           0.0048421,           0.0034415,           0.0085546,           0.0085546,           0.0085546
                  75,            0.034264,           0.0084535,           0.0064254,             0.96849,                   1,              0.9946,              0.7383,            0.026548,           0.0047958,           0.0035669,           0.0085348,           0.0085348,           0.0085348
                  76,             0.03215,           0.0071509,           0.0053885,              0.9827,             0.99595,              0.9946,             0.72593,            0.023735,           0.0048585,           0.0035598,            0.008515,            0.008515,            0.008515
                  77,             0.03226,           0.0083396,           0.0055124,             0.96562,             0.99479,             0.99091,             0.72474,            0.021335,            0.004777,           0.0033804,           0.0084952,           0.0084952,           0.0084952
                  78,             0.03282,           0.0082874,           0.0058026,             0.97871,             0.99512,             0.99421,             0.75614,            0.023868,           0.0046973,           0.0032579,           0.0084754,           0.0084754,           0.0084754
                  79,            0.030855,           0.0083895,           0.0059497,             0.97769,             0.99799,             0.99381,             0.70897,            0.027621,           0.0047789,           0.0031806,           0.0084556,           0.0084556,           0.0084556
                  80,            0.033816,           0.0082553,           0.0051669,             0.97866,             0.99914,             0.99341,             0.76865,            0.022116,            0.004597,           0.0031019,           0.0084358,           0.0084358,           0.0084358
                  81,            0.032506,           0.0081461,           0.0055164,             0.88938,             0.99597,             0.98072,             0.68596,             0.02574,           0.0046953,           0.0029361,            0.008416,            0.008416,            0.008416
                  82,            0.029024,           0.0076401,           0.0065317,              0.9703,             0.99641,             0.99341,             0.69718,            0.023625,           0.0047176,            0.002957,           0.0083962,           0.0083962,           0.0083962
                  83,            0.030382,            0.008201,           0.0050164,             0.97451,              0.9957,             0.99374,             0.72863,            0.023599,           0.0045698,           0.0028826,           0.0083764,           0.0083764,           0.0083764
                  84,            0.032178,           0.0087512,           0.0046835,             0.97488,             0.99805,             0.99414,             0.71247,            0.024213,            0.004624,           0.0028897,           0.0083566,           0.0083566,           0.0083566
                  85,            0.030753,           0.0074526,           0.0063237,             0.97317,             0.99602,             0.99414,             0.69618,            0.025444,           0.0046265,           0.0029683,           0.0083368,           0.0083368,           0.0083368
                  86,            0.031018,           0.0076457,           0.0056449,              0.9739,             0.99368,             0.99414,             0.76133,            0.023106,           0.0046198,           0.0029752,            0.008317,            0.008317,            0.008317
                  87,            0.031059,           0.0077185,           0.0046834,             0.96379,              0.9902,             0.99318,             0.72749,             0.02503,           0.0046568,           0.0028538,           0.0082972,           0.0082972,           0.0082972
                  88,            0.030665,           0.0078032,           0.0056668,             0.98339,             0.98808,             0.99454,             0.70233,            0.023476,           0.0045237,            0.002898,           0.0082774,           0.0082774,           0.0082774
                  89,            0.029319,           0.0084385,           0.0065496,             0.98568,             0.98698,             0.99454,             0.68961,            0.024942,           0.0045381,           0.0028958,           0.0082576,           0.0082576,           0.0082576
                  90,            0.029251,           0.0072568,           0.0051278,             0.97805,             0.99327,               0.995,             0.75664,            0.023644,           0.0045428,            0.002815,           0.0082378,           0.0082378,           0.0082378
                  91,            0.031489,           0.0077113,           0.0049889,             0.96395,             0.99315,             0.98791,              0.7565,             0.02263,           0.0046103,           0.0027447,            0.008218,            0.008218,            0.008218
                  92,             0.03066,           0.0072866,           0.0049621,             0.97291,             0.99306,               0.995,             0.74665,            0.024379,           0.0046018,           0.0027228,           0.0081982,           0.0081982,           0.0081982
                  93,            0.028998,            0.007954,           0.0054159,              0.9616,             0.99294,             0.99264,             0.80575,            0.022297,           0.0045426,             0.00265,           0.0081784,           0.0081784,           0.0081784
                  94,            0.030685,           0.0079278,           0.0046726,             0.93398,              0.9938,               0.995,             0.76062,            0.023399,            0.004445,           0.0026568,           0.0081586,           0.0081586,           0.0081586
                  95,            0.030842,           0.0075673,           0.0050774,             0.97977,              0.9934,               0.995,             0.78539,            0.021151,           0.0044733,           0.0027634,           0.0081388,           0.0081388,           0.0081388
                  96,            0.027787,           0.0074777,           0.0061141,             0.92725,              0.9902,             0.98566,             0.78099,            0.020428,           0.0044478,           0.0031544,            0.008119,            0.008119,            0.008119
                  97,            0.029913,           0.0083145,           0.0051738,             0.98122,             0.99404,               0.995,             0.77709,            0.020941,           0.0043941,           0.0029734,           0.0080992,           0.0080992,           0.0080992
                  98,            0.028947,           0.0073491,           0.0046392,             0.97811,             0.99541,               0.995,             0.72363,            0.022718,           0.0044658,           0.0029479,           0.0080794,           0.0080794,           0.0080794
                  99,            0.027518,            0.007612,           0.0048119,             0.92468,             0.99141,             0.99324,             0.78115,            0.023867,           0.0044419,           0.0028193,           0.0080596,           0.0080596,           0.0080596
                 100,            0.028533,           0.0077117,            0.004454,             0.98016,             0.99002,              0.9946,             0.77891,            0.021305,           0.0044495,           0.0028603,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029826,            0.007254,           0.0064606,             0.98164,             0.98805,               0.995,             0.76822,             0.02166,           0.0043514,            0.002906,             0.00802,             0.00802,             0.00802
                 102,            0.027895,           0.0082393,           0.0049286,              0.9852,             0.99599,             0.99421,              0.7634,            0.021008,           0.0042997,           0.0028237,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029509,           0.0084032,           0.0055253,             0.98199,             0.99792,             0.99421,             0.77849,             0.01919,           0.0042379,           0.0028638,           0.0079804,           0.0079804,           0.0079804
                 104,            0.027802,           0.0076173,           0.0041808,             0.98409,             0.99716,             0.99421,              0.7888,            0.019232,            0.004221,           0.0028707,           0.0079606,           0.0079606,           0.0079606
                 105,            0.028717,           0.0077209,            0.004408,             0.98335,             0.99695,             0.99421,             0.77377,            0.019696,           0.0043039,           0.0026751,           0.0079408,           0.0079408,           0.0079408
                 106,             0.02984,           0.0081522,           0.0049413,             0.98151,             0.99569,               0.995,             0.75654,            0.019332,           0.0042674,           0.0025611,            0.007921,            0.007921,            0.007921
                 107,            0.027521,           0.0074803,           0.0038935,              0.9836,             0.99454,               0.995,                0.78,             0.01953,            0.004345,            0.002506,           0.0079012,           0.0079012,           0.0079012
                 108,            0.029305,           0.0077063,           0.0052739,             0.98392,             0.99387,               0.995,             0.79807,            0.020385,           0.0042875,           0.0024477,           0.0078814,           0.0078814,           0.0078814
                 109,            0.028502,           0.0076717,           0.0040191,             0.92551,              0.9902,             0.98704,              0.7482,            0.020447,           0.0042639,           0.0024231,           0.0078616,           0.0078616,           0.0078616
                 110,            0.027145,           0.0072566,           0.0042762,             0.98262,              0.9902,             0.99414,             0.77452,            0.020295,           0.0042847,           0.0024381,           0.0078418,           0.0078418,           0.0078418
                 111,            0.027454,           0.0075319,           0.0052859,             0.98503,              0.9902,             0.99454,             0.68049,            0.022916,           0.0044012,            0.002448,            0.007822,            0.007822,            0.007822
                 112,            0.028511,           0.0074091,           0.0039717,             0.98203,              0.9902,             0.99414,             0.78538,            0.020825,           0.0042557,           0.0024422,           0.0078022,           0.0078022,           0.0078022
                 113,            0.026475,           0.0075917,           0.0040092,             0.98434,              0.9902,             0.99335,             0.76768,             0.01926,           0.0042319,           0.0024037,           0.0077824,           0.0077824,           0.0077824
                 114,            0.027063,           0.0075801,           0.0042569,             0.98362,             0.99345,              0.9946,             0.79067,            0.020144,           0.0042152,           0.0023589,           0.0077626,           0.0077626,           0.0077626
                 115,            0.026059,           0.0072167,           0.0045203,             0.98517,             0.99669,              0.9946,             0.78161,            0.020769,           0.0042004,           0.0023969,           0.0077428,           0.0077428,           0.0077428
                 116,            0.027529,            0.007811,           0.0042592,             0.98431,             0.99717,               0.995,             0.77219,            0.019117,            0.004079,           0.0024718,            0.007723,            0.007723,            0.007723
                 117,            0.026571,           0.0073563,           0.0046763,             0.98311,             0.99459,              0.9946,             0.73399,            0.022397,           0.0042118,           0.0025052,           0.0077032,           0.0077032,           0.0077032
                 118,            0.026502,           0.0072879,           0.0045586,             0.98509,             0.99315,               0.995,             0.79308,             0.01989,           0.0042258,           0.0024797,           0.0076834,           0.0076834,           0.0076834
                 119,            0.026634,           0.0075634,           0.0039718,             0.98097,             0.99466,               0.995,             0.79591,            0.019984,           0.0042397,           0.0024511,           0.0076636,           0.0076636,           0.0076636
                 120,            0.026242,           0.0065924,           0.0038896,               0.984,             0.99293,               0.995,             0.79081,            0.019336,           0.0040953,           0.0024615,           0.0076438,           0.0076438,           0.0076438
                 121,            0.026455,           0.0072466,           0.0037574,             0.96763,              0.9902,             0.99454,             0.79523,            0.019549,           0.0042198,           0.0024704,            0.007624,            0.007624,            0.007624
